Provider,Definition,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
US Internet FTTP,HD,90%,91%,89%,90%,90%,88%,88%,90%,89%,87%,89%,91%,90%,89%,92%,91%,94%,93%,89%,89%,92%,84%,91%,90%
Xfinity by Comcast,HD,92%,89%,90%,91%,91%,92%,92%,90%,91%,93%,93%,93%,92%,93%,94%,94%,94%,94%,92%,93%,93%,92%,89%,92%
CenturyLink,LD,70%,61%,76%,70%,66%,70%,72%,70%,78%,77%,83%,81%,88%,83%,79%,71%,89%,76%,67%,62%,71%,40%,72%,39%
