Provider,Definition,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
Xfinity by Comcast,HD,91%,92%,92%,91%,92%,93%,93%,93%,93%,93%,93%,93%,92%,93%,92%,94%,93%,94%,95%,91%,93%,93%,92%,91%
Verizon - Unclassified,SD,88%,85%,85%,78%,78%,83%,73%,87%,87%,89%,88%,86%,86%,84%,84%,86%,91%,89%,90%,73%,93%,88%,87%,89%
Verizon DSL,SD,60%,56%,57%,53%,56%,56%,56%,60%,60%,58%,55%,55%,58%,54%,54%,56%,57%,60%,62%,65%,70%,69%,68%,68%
