Provider,Definition,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
Verizon - Unclassified,HD,94%,90%,86%,89%,91%,93%,93%,92%,91%,92%,92%,91%,93%,94%,86%,86%,91%,92%,93%,90%,96%,95%,89%,91%
Verizon DSL,HD,96%,97%,94%,96%,96%,96%,96%,94%,95%,97%,95%,90%,73%,95%,90%,95%,94%,94%,95%,84%,95%,84%,86%,95%
Verizon FiOS,HD,90%,91%,91%,91%,91%,92%,90%,93%,92%,92%,90%,92%,91%,91%,92%,93%,95%,93%,96%,90%,94%,92%,94%,93%
Xfinity by Comcast,SD,81%,83%,85%,86%,87%,89%,88%,88%,89%,88%,88%,88%,88%,88%,88%,87%,88%,87%,87%,84%,85%,82%,81%,80%
