Provider,Definition,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM
Verizon - Unclassified,HD,91%,89%,88%,87%,89%,89%,91%,92%,90%,92%,93%,92%,94%,92%,93%,94%,95%,92%,90%,88%,89%,88%,87%,92%
Verizon DSL,HD,94%,93%,92%,88%,90%,93%,92%,91%,92%,92%,91%,93%,94%,93%,91%,92%,92%,94%,92%,90%,92%,91%,92%,94%
Verizon FiOS,HD,87%,93%,87%,90%,91%,92%,92%,93%,94%,92%,94%,92%,92%,92%,93%,92%,92%,94%,93%,95%,94%,93%,92%,88%
Xfinity by Comcast,HD,91%,91%,90%,90%,90%,91%,91%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,92%,92%,92%,90%,90%
RCN Corporation,SD,83%,88%,84%,89%,85%,88%,89%,90%,87%,87%,89%,90%,90%,89%,90%,89%,89%,88%,89%,80%,77%,80%,78%,84%
Windstream Communications,LD,76%,82%,84%,80%,80%,74%,81%,76%,45%,73%,78%,52%,52%,59%,68%,50%,86%,80%,77%,60%,85%,81%,69%,84%
