Date,Amount
2010-12-29,0.279
2011-12-28,2.718
2012-12-27,1.284
2013-12-27,0.198
2014-12-29,0.51
2015-12-29,0.142
2016-12-28,0.119
2017-12-28,0.428
2018-12-28,0.473
2019-06-27,0.224
2019-12-30,0.055
2020-06-29,0.071
2020-12-30,0.323
2021-06-29,0.161
2021-12-30,0.385
2022-06-29,0.718
2022-12-29,0.395
2023-06-29,0.505
2023-12-28,0.391
2024-06-27,0.159
