Date,Amount
2015-12-23,0.103
2016-06-22,0.015
2016-09-21,0.006
2016-12-21,0.02
2017-06-22,0.01
2017-09-21,0.007
2017-12-21,0.005
2018-03-22,0.005
2018-06-21,0.008
2018-12-18,0.039
2019-06-14,0.018
2019-09-25,0.004
2019-12-13,0.047
2020-03-26,0.399
2020-06-25,0.03
2020-09-24,0.033
2020-12-24,0.027
2021-06-24,0.033
2021-12-23,0.281
2022-03-25,0.02
2022-06-24,0.003
2022-12-23,0.095
2023-06-27,0.053
2023-09-22,0.009
2023-12-22,0.166
2024-03-21,0.024
2024-06-27,0.066
2024-09-26,0.011
